"Identificador URL";Nome;Categorias;"Nome da variação 1";"Valor da variação 1";"Nome da variação 2";"Valor da variação 2";"Nome da variação 3";"Valor da variação 3";Preço;"Preço promocional";"Peso (kg)";"Altura (cm)";"Largura (cm)";"Comprimento (cm)";Estoque;SKU;"Código de barras";"Exibir na loja";"Frete gratis";Descrição;Tags;"Título para SEO";"Descrição para SEO";Marca;"Produto Físico";"MPN (Cód. Exclusivo, Modelo Fabricante)";Sexo;"Faixa etária";Custo
seminova-js-montabox-510-x-19-1-4-x-2-7-16-294l-eps;"Seminova JS MontaBox - 5'10 x 19 1/4 x 2 7/16 - 29,4L - EPS";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5`10;Volume;29,4L;;;1,890.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"prancha de surf, pranchaseminova, PRANCHAUSADA, SEMINOVA";"Seminova JS MontaBox 5'10 - Prancha EPS de Surf";"Descubra a prancha Seminova JS MontaBox 5'10, ideal para surfistas. Com 29,4L de volume, é leve e ágil. Aproveite e adquira já a sua!";"JS Industries";SIM;;;;
seminova-al-merrick-ogflyer-60-x-19-3-4-x-2-9-16-326l-pu;"Seminova Al Merrick OgFlyer - 6'0 X 19 3/4 X 2 9/16 -32,6L - PU";"Prancha de surf > Prancha de surf usada seminova";Tamanho;6'0;Volume;32,6L;;;1,690.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"al merrick, Channel Islands, OGFLYER, prancha de surf";"Seminova Al Merrick OgFlyer 6'0 - Prancha Surf FCS2";"Explore a prancha Seminova Al Merrick OgFlyer 6'0, ideal para surfistas. Com sistema FCS2, garante desempenho excepcional. Adquira já a sua!";"Al Merrick";SIM;;;;
prancha-chilli-volume-ii-511-x-19-1-4-x-2-9-16-30l-pu;"Prancha Chilli Volume II - 5'11 x 19 1/4 x 2 9/16 - 30L - PU";"Prancha de surf > Prancha de surf nova > Prancha de surf Outras marcas";Tamanho;5'11;Volume;30L;;;3,590.00;2,990.00;4.00;20.00;55.00;190.00;1;;;SIM;NÃO;;"CHILLI, pu, Volume2";"Prancha Chilli Volume II 5'11 - Alta Performance e Versatilidade";"Prancha Chilli Volume II 5'11 com 30L em PU oferece controle e agilidade para ondas variadas. Compre agora e eleve seu surf com qualidade e conforto.";CHILLI;SIM;;;;
snapy-rtx-swallow-snapy-flex-59-x-18-7-8-x-2-1-2-278l-eps;"Snapy RTX Swallow Snapy Flex - 5'9 x 18 7/8 x 2 1/2 - 27,8L - EPS";"Prancha de surf > Prancha de surf nova > Prancha de surf Snapy";Tamanho;5'8;Volume;27,8L;;;3,390.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"5'10, EPS, prancha de surf, RTX, snapy";"Prancha Snapy RTX Swallow Flex 5'9 - Alta Performance EPS";"A prancha Snapy RTX Flex 5'9 combina volume e drive para surfistas versáteis. Desenvolvida com Alexandre Snapy e Rafa Teixeira. Garanta a sua e eleve seu surf!";Snapy;SIM;;;;
snapy-rtx-snapyflex-59-x-18-7-8-x-2-1-2-278l-eps;"Snapy RTX Snapyflex - 5'9 x 18 7/8 x 2 1/2 - 27,8L EPS";"Prancha de surf > Prancha de surf nova > Prancha de surf Snapy";Tamanho;5'9;Volume;30L;;;3,190.00;2,935.00;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"31.6L, 5'11, black horse, prancha de surf, snapy";;;Snapy;SIM;;;;
seminova-pyzel-red-tiger-510-x-19-1-8-x-2-3-8-284l-pu;"Seminova Pyzel Red Tiger - 5'10 X 19 1/8 X 2 3/8- 28,4L -PU";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5`10;Volume;28,4L;;;2,290.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"prancha de surf, pyzel, red tiger, SEMINOVA";"Prancha Seminova Pyzel Red Tiger 5'10 - FCS2, 28,4L";"Prancha Seminova Pyzel Red Tiger 5'10 em ótimo estado com amassado de uso. Volume 28,4L e sistema FCS2. Garanta já sua prancha de alta performance!";Pyzel;SIM;;;;
seminova-al-merrick-two-happy-511-x-19-1-8-x-2-7-16-293l-pu;"Seminova Al Merrick Two Happy - 5'11 X 19 1/8 X 2 7/16 - 29,3L - PU";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'11;Volume;29,3L;;;2,390.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"al merrick, Channel Islands, prancha de surf";"Seminova Al Merrick Two Happy 5'11 - Surfboard FCS2";"Descubra a prancha Seminova Al Merrick Two Happy 5'11, em ótimo estado, com pintura externa e sistema FCS2. Garanta a sua e surfe com estilo!";"Al Merrick";SIM;;;;
seminova-lost-subdriver-2-0-510-x-19-1-4-x-2-7-16-295l-pu;"Seminova Lost SubDriver 2.0 - 5'10 x 19 1/4 x 2 7/16 - 29,5L - PU";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5`10;Volume;29,5L;;;2,090.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"Lostsurfboards, prancha de surf, pranchaseminova, PRANCHAUSADA, SEMINOVA, subdriver";"Prancha Seminova Lost SubDriver 2.0 5'10 - Performance e Estilo";"Prancha Lost SubDriver 2.0 seminova, 5'10 x 19 1/4 x 2 7/16, 29,5L, ideal para surfistas que buscam velocidade e manobrabilidade. Aproveite!";LOST;SIM;;;;
seminova-lost-radripper-510-x-19-1-24x-2-3-8-299l-eps;"Seminova Lost RadRipper - 5'10 x 19 1/24x 2 3/8 - 29,9L - EPS";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'10;Volume;29,9L;;;1,590.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"Lostsurfboards, prancha de surf, pranchaseminova, PRANCHAUSADA, RADRIPPER, SEMINOVA";"Seminova Lost RadRipper 5'10 - Performance em Surf";"Aproveite a prancha Seminova Lost RadRipper 5'10, ideal para surfistas! Quase nova, com amassados na base. Garanta a sua e surfe com estilo!";LOST;SIM;;;;
seminova-sharpeye-inferno-ft-59x-19-1-2-x-2-9-16-30l-pu;"Seminova Sharpeye Inferno FT - 5'9x 19 1/2 x 2 9/16 - 30L - PU";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'9;Volume;30L;;;2,290.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"infernoFT, prancha de surf, pranchaseminova, PRANCHAUSADA, SEMINOVA, sharpeye";"Seminova Sharpeye Inferno FT - Prancha Quad 5'9";"Descubra a Seminova Sharpeye Inferno FT, ideal para surfistas! Prancha quad 5'9 com plugs FCS2. Aproveite e garanta a sua!";Sharpeye;SIM;;;;
